aligned_fps_from_gvhmr_loader,backhand_wrist_offsets,forehand_right_arm_motion_scale,human_height,lower_body_mode,min_body_z,min_body_z_before_shift,motion_name,output_fps,output_frames,output_npz,reference_strike_frame,reference_strike_time_s,root_xy_mode,skipped_existing,source_frames,source_gvhmr_result,strike_type,target_root_height,waist_mode,z_shift
50.0,"{'right_wrist_roll_joint': 0.55, 'right_wrist_pitch_joint': 0.0, 'right_wrist_yaw_joint': 0.0}",1.0,1.7040482759475708,reference_mean,0.025,0.1050189733505249,backhand_manual_001_backhand_1.169_2.640_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/mqy_g1_npz_pre_align/backhand/backhand_manual_001_backhand_1.169_2.640_50fps__unitree_g1.npz,43,0.86,zero_start,False,74,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/mqy_capture/gvhmr_results/backhand/backhand_manual_001_backhand_1.169_2.640_50fps/hmr4d_results.pt,backhand,0.78,keep,0.0
50.0,{},1.55,1.705695629119873,reference_mean,0.025,0.11456256359815598,forehand_manual_002_forehand_2.021_3.810_50fps,50.0,94,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_motions/mqy_g1_npz_pre_align/forehand/forehand_manual_002_forehand_2.021_3.810_50fps__unitree_g1.npz,43,0.86,zero_start,False,90,/home/yhl/Desktop/Hitter/MOSAIC-main/data/hitter_captures/mqy_capture/gvhmr_results/forehand/forehand_manual_002_forehand_2.021_3.810_50fps/hmr4d_results.pt,forehand,0.78,keep,0.0
