Connecting to 192.168.10.1:801 ...
Waiting for at least 3 visible G1 Pelvis markers; currently 0
Captured G1 Pelvis template with 5 markers: pelvis1 pelvis2 pelvis3 pelvis4 pelvis5
Loading table calibration from deploy/mocap_bridge/calibrations/table_frame_latest.json ...
Table rectangle score=0.0000 center_raw_m=[-0.2257, 3.1388, 0.7482] x_axis_raw=[0.0322, 0.9995, 0.0000] y_axis_raw=[-0.9995, 0.0322, 0.0000]
Table-world convention: robot-side edge x=0.0000 m, far edge x=2.7400 m, expected G1 Pelvis x ~= -0.4000 m
Base initial measured_world_m=[-0.6070, -0.2062, 0.7279] anchor_initial_world_m=[-0.6070, -0.2062, 0.7279] raw
Monitoring only on vicon_state_data via udpm://239.255.76.67:7667?ttl=255
frame=448178 hz=301.1 base_valid=1 base_markers=5 base_rms_mm=0.03 base_measured_m=[-0.6070, -0.2062, 0.7279] base_world_m=[-0.6070, -0.2062, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0001, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448208 hz=301.0 base_valid=1 base_markers=5 base_rms_mm=0.11 base_measured_m=[-0.6070, -0.2062, 0.7280] base_world_m=[-0.6070, -0.2062, 0.7280] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0003, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448239 hz=301.0 base_valid=1 base_markers=5 base_rms_mm=0.14 base_measured_m=[-0.6070, -0.2063, 0.7280] base_world_m=[-0.6070, -0.2063, 0.7280] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0002, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448269 hz=300.9 base_valid=1 base_markers=5 base_rms_mm=0.13 base_measured_m=[-0.6070, -0.2063, 0.7279] base_world_m=[-0.6070, -0.2063, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0001, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448299 hz=300.8 base_valid=1 base_markers=5 base_rms_mm=1.41 base_measured_m=[-0.6071, -0.2067, 0.7273] base_world_m=[-0.6071, -0.2067, 0.7273] base_edge_error_m=-0.2071 base_quat_xyzw=[0.0000, 0.0000, 0.0040, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448330 hz=300.8 base_valid=1 base_markers=5 base_rms_mm=0.24 base_measured_m=[-0.6070, -0.2062, 0.7279] base_world_m=[-0.6070, -0.2062, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0004, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448361 hz=300.7 base_valid=1 base_markers=5 base_rms_mm=0.12 base_measured_m=[-0.6070, -0.2063, 0.7279] base_world_m=[-0.6070, -0.2063, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0001, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448392 hz=300.7 base_valid=1 base_markers=5 base_rms_mm=0.15 base_measured_m=[-0.6070, -0.2063, 0.7280] base_world_m=[-0.6070, -0.2063, 0.7280] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0004, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448422 hz=300.7 base_valid=1 base_markers=5 base_rms_mm=0.25 base_measured_m=[-0.6070, -0.2062, 0.7279] base_world_m=[-0.6070, -0.2062, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0007, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448453 hz=300.7 base_valid=1 base_markers=5 base_rms_mm=0.15 base_measured_m=[-0.6070, -0.2063, 0.7280] base_world_m=[-0.6070, -0.2063, 0.7280] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0004, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448484 hz=300.6 base_valid=1 base_markers=5 base_rms_mm=0.15 base_measured_m=[-0.6070, -0.2063, 0.7278] base_world_m=[-0.6070, -0.2063, 0.7278] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0002, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448515 hz=300.6 base_valid=1 base_markers=5 base_rms_mm=0.20 base_measured_m=[-0.6070, -0.2062, 0.7279] base_world_m=[-0.6070, -0.2062, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0006, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448546 hz=300.6 base_valid=1 base_markers=5 base_rms_mm=0.05 base_measured_m=[-0.6070, -0.2062, 0.7279] base_world_m=[-0.6070, -0.2062, 0.7279] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0001, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448576 hz=300.6 base_valid=1 base_markers=5 base_rms_mm=1.41 base_measured_m=[-0.6071, -0.2068, 0.7273] base_world_m=[-0.6071, -0.2068, 0.7273] base_edge_error_m=-0.2071 base_quat_xyzw=[0.0000, 0.0000, 0.0038, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=448606 hz=300.5 base_valid=1 base_markers=5 base_rms_mm=0.12 base_measured_m=[-0.6070, -0.2063, 0.7278] base_world_m=[-0.6070, -0.2063, 0.7278] base_edge_error_m=-0.2070 base_quat_xyzw=[0.0000, 0.0000, 0.0002, 1.0000] unlabeled_count=4 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
