[2026-06-14 23:09:29,257][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb2f40f3010>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:37,261][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb29c1e9a20>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:37,267][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb29c1e98d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/bsu9c10lj8ogk7r2mggx9/heartbeat
[2026-06-14 23:09:37,267][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb29c1e94b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:37,268][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb29c1e96f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:09:37,268][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fb29c1e9b10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:11:30,664][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'RemoteDisconnected('Remote end closed connection without response')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/complete
[2026-06-14 23:23:54,597][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/house/experiments/bsu9c10lj8ogk7r2mggx9/heartbeat
[2026-06-14 23:23:54,597][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:23:54,597][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ConnectionResetError(104, 'Connection reset by peer')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:23:55,651][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faec80a18a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/bsu9c10lj8ogk7r2mggx9/heartbeat
[2026-06-14 23:23:55,652][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faec80a1810>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:23:55,652][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faec80a17e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:23:57,736][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faec80a18d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/bsu9c10lj8ogk7r2mggx9/heartbeat
[2026-06-14 23:23:57,737][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faec80a2170>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:23:57,737][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faec80a2230>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:24:01,743][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faec80a22c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/bsu9c10lj8ogk7r2mggx9/heartbeat
[2026-06-14 23:24:01,744][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faec80a21d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
[2026-06-14 23:24:01,744][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7faec80a3340>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/bsu9c10lj8ogk7r2mggx9/files/prepare
