[2026-06-16 21:21:00,697][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f102b00>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:00,697][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f102bc0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:04,703][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f103190>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:04,703][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462f103f40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:12,744][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462ec6d030>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:21:12,744][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f462ec6d0c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:29:34,486][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45c91a5db0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
[2026-06-16 21:29:35,514][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45c91a5f60>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
[2026-06-16 21:29:37,525][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45c91a6200>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
[2026-06-16 21:29:41,572][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45c83cc7f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
[2026-06-16 21:29:49,582][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45c83ce6b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/67qq991a4rpsrzl3ppfio/heartbeat
[2026-06-16 21:34:29,239][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45887f6a70>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:34:29,244][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4587e08eb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:34:30,274][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45887f4dc0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:34:30,274][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f45887f7460>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:34:32,288][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4589b6df90>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
[2026-06-16 21:34:32,289][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4587e080d0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/67qq991a4rpsrzl3ppfio/files/prepare
