Connecting to 192.168.10.1:801 ...
Captured G1Pelvis template with 5 markers: G1pelvis1 G1pelvis2 G1pelvis3 G1pelvis4 G1pelvis5
Loading table calibration from deploy/mocap_bridge/calibrations/table_frame_latest.json ...
Table rectangle score=0.0000 center_raw_m=[-0.2257, 3.1389, 0.7475] x_axis_raw=[0.0331, 0.9995, 0.0000] y_axis_raw=[-0.9995, 0.0331, 0.0000]
Table-world convention: robot-side edge x=0.0000 m, far edge x=2.7400 m, expected G1Pelvis x ~= -0.4000 m
Base initial measured_world_m=[-0.7124, -0.2175, 0.8693] anchor_initial_world_m=[-0.7124, -0.2175, 0.8693] raw
Publishing on vicon_state_data via udpm://239.255.76.67:7667?ttl=255
frame=130606824 hz=172.7 base_valid=1 base_markers=5 base_rms_mm=0.15 base_measured_m=[-0.7121, -0.2179, 0.8693] base_world_m=[-0.7121, -0.2179, 0.8693] base_edge_error_m=-0.3121 base_quat_xyzw=[0.0000, 0.0000, -0.0014, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606855 hz=177.5 base_valid=1 base_markers=5 base_rms_mm=0.21 base_measured_m=[-0.7121, -0.2181, 0.8693] base_world_m=[-0.7121, -0.2181, 0.8693] base_edge_error_m=-0.3121 base_quat_xyzw=[0.0000, 0.0000, -0.0016, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606886 hz=182.0 base_valid=1 base_markers=5 base_rms_mm=0.20 base_measured_m=[-0.7120, -0.2182, 0.8693] base_world_m=[-0.7120, -0.2182, 0.8693] base_edge_error_m=-0.3120 base_quat_xyzw=[0.0000, 0.0000, -0.0012, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606916 hz=186.1 base_valid=1 base_markers=5 base_rms_mm=0.24 base_measured_m=[-0.7120, -0.2183, 0.8693] base_world_m=[-0.7120, -0.2183, 0.8693] base_edge_error_m=-0.3120 base_quat_xyzw=[0.0000, 0.0000, -0.0014, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606947 hz=190.0 base_valid=1 base_markers=5 base_rms_mm=0.19 base_measured_m=[-0.7121, -0.2183, 0.8693] base_world_m=[-0.7121, -0.2183, 0.8693] base_edge_error_m=-0.3121 base_quat_xyzw=[0.0000, 0.0000, -0.0011, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130606977 hz=193.5 base_valid=1 base_markers=5 base_rms_mm=0.19 base_measured_m=[-0.7122, -0.2182, 0.8693] base_world_m=[-0.7122, -0.2182, 0.8693] base_edge_error_m=-0.3122 base_quat_xyzw=[0.0000, 0.0000, -0.0012, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607007 hz=196.8 base_valid=1 base_markers=5 base_rms_mm=0.17 base_measured_m=[-0.7124, -0.2182, 0.8693] base_world_m=[-0.7124, -0.2182, 0.8693] base_edge_error_m=-0.3124 base_quat_xyzw=[0.0000, 0.0000, -0.0013, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607037 hz=199.9 base_valid=1 base_markers=5 base_rms_mm=0.15 base_measured_m=[-0.7125, -0.2181, 0.8693] base_world_m=[-0.7125, -0.2181, 0.8693] base_edge_error_m=-0.3125 base_quat_xyzw=[0.0000, 0.0000, -0.0011, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607068 hz=202.9 base_valid=1 base_markers=5 base_rms_mm=0.10 base_measured_m=[-0.7127, -0.2178, 0.8693] base_world_m=[-0.7127, -0.2178, 0.8693] base_edge_error_m=-0.3127 base_quat_xyzw=[0.0000, 0.0000, -0.0010, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
frame=130607098 hz=205.6 base_valid=1 base_markers=5 base_rms_mm=0.08 base_measured_m=[-0.7129, -0.2175, 0.8693] base_world_m=[-0.7129, -0.2175, 0.8693] base_edge_error_m=-0.3129 base_quat_xyzw=[0.0000, 0.0000, -0.0008, 1.0000] unlabeled_count=5 raw_ignore_count=0 ball_valid=0 ball_missed_frames=0
