[2026-06-15 14:06:02,625][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa782742a10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/l6fsk30ryvq6dptzjbg50/heartbeat
[2026-06-15 14:08:38,662][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa5321995a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 14:08:38,671][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa53219a680>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 14:08:39,679][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa53219a9e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 14:08:39,680][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa53219b250>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 14:08:41,687][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa53219b040>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 14:08:41,687][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa53219b8e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 14:08:45,693][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa53219b9a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 14:08:45,693][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa53219bac0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 14:08:53,703][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa531bc57e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
[2026-06-15 14:08:53,705][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa531bc5900>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/l6fsk30ryvq6dptzjbg50/files/prepare
