step,raw_error,raw_equiv_deg,rolling100_error,rolling100_equiv_deg,rolling100_reward
99,0.070706307888031,21.67501914732053,0.2549526122957468,41.83683066542935,0.11613384037278593
124,0.06981858611106873,21.53688824034602,0.1065648004412651,26.69186183852665,0.1765312074869871
149,0.07181783020496368,21.84680137077908,0.0710592243075371,21.72970124755515,0.23784007564187049
174,0.07099434733390808,21.71965881215488,0.07033915244042875,21.617991090147893,0.3054912555217743
199,0.07243742048740387,21.942001656292327,0.07140482440590858,21.783123127272404,0.390801845639944
224,0.06806515157222748,21.261540465358408,0.07194489806890488,21.86635752132391,0.5190182173252105
249,0.058478664606809616,19.691365353176092,0.06992735665291547,21.553858418602527,0.6678360745310784
274,0.05472564324736595,19.042932644326783,0.0660412897542119,20.939436690939186,0.8046156659722328
299,0.049599550664424896,18.1212486148899,0.061378801614046095,20.178720911370952,0.9166867917776108
324,0.04775391146540642,17.778114952900907,0.05582707215100526,19.235412700222167,0.9673831504583359
349,0.04752995818853378,17.736041716722912,0.051692546904087075,18.502925395822157,0.9769994050264358
374,0.04671018570661545,17.581203104862514,0.049457794688642025,18.095117015737834,0.9806293207406998
399,0.05232913792133331,18.617514922436325,0.04836271371692421,17.89200436398514,0.9826007848978043
424,0.04519067332148552,17.290647726619444,0.048360212072730065,17.891537813370693,0.9836753189563753
449,0.038130879402160645,15.873247695209724,0.04690227746963501,17.617603583677862,0.986213760972023
474,0.03985532745718956,16.230574416827007,0.04461778379976749,17.17986602040011,0.9891137444972993
499,0.04507635533809662,17.26859668308122,0.04308066699653864,16.8791449802057,0.991515319943428
524,0.04001767560839653,16.2638212375597,0.041239922754466536,16.512030754713358,0.9934545570611953
549,0.0428532175719738,16.834204103056514,0.0406781404092908,16.39839980438857,0.9946270346641541
574,0.03994085639715195,16.248097898325568,0.0416634925082326,16.597205455231588,0.9946521365642548
599,0.039223819971084595,16.100614471154923,0.04072779774665833,16.40847475430928,0.9953897446393967
624,0.03845842927694321,15.941720021966239,0.03979508180171252,16.21822000743254,0.9964458310604094
649,0.03361878544092178,14.898855694409976,0.03896800167858601,16.04767727218611,0.9971253496408463
674,0.03525572642683983,15.25937477335198,0.03718302827328443,15.673463468060861,0.9985066443681718
699,0.03458728268742561,15.11317187472518,0.03619537591934203,15.462613863481558,0.9993087846040726
724,0.030763596296310425,14.248721135653211,0.03494866013526916,15.192383429101016,1.0003295725584032
