host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782472963.887828588,3.237676859,0,vicon_state_data,ball,1,0,-0.757474177,-0.434255644,0.841468679,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865530177,-0.382981223,0.820548142,0.000000000,0.000000000,0.000000000,1.000000000
1782472963.887944698,3.237792969,1,vicon_state_data,ball,1,0,-0.757479316,-0.434291871,0.841484977,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865530177,-0.382981223,0.820548142,0.000000000,0.000000000,0.000000000,1.000000000
1782472964.411410570,3.761258841,2,vicon_state_data,ball,1,0,2.432841991,-0.062218774,1.058127854,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822179984,-0.459750667,0.820812357,0.000000000,0.000000000,-0.041027427,0.999158021
1782472964.411505938,3.761354208,3,vicon_state_data,ball,1,0,2.424651332,-0.064945295,1.059270993,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822181122,-0.459830323,0.820839295,0.000000000,0.000000000,-0.041311264,0.999146325
1782472964.471655846,3.821504116,4,vicon_state_data,ball,1,0,2.337621325,-0.095575944,1.051507645,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822107390,-0.459818629,0.820724975,0.000000000,0.000000000,-0.041935171,0.999120334
1782472964.471900463,3.821748734,5,vicon_state_data,ball,1,0,2.328597941,-0.098525366,1.050693352,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822095827,-0.459835540,0.820723703,0.000000000,0.000000000,-0.042036250,0.999116086
1782472964.471994162,3.821842432,6,vicon_state_data,ball,1,0,2.319360963,-0.101923533,1.049514904,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822103114,-0.459790063,0.820726725,0.000000000,0.000000000,-0.041856515,0.999123632
1782472964.472068787,3.821917057,7,vicon_state_data,ball,1,0,2.309556941,-0.105356719,1.048099605,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822095470,-0.459786763,0.820700045,0.000000000,0.000000000,-0.041941452,0.999120070
1782472964.472139120,3.821987391,8,vicon_state_data,ball,1,0,2.299312915,-0.108507363,1.046495463,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822121729,-0.459766292,0.820728112,0.000000000,0.000000000,-0.041830128,0.999124737
1782472964.472208500,3.822056770,9,vicon_state_data,ball,1,0,2.288488752,-0.112106851,1.044134072,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822129198,-0.459786983,0.820755108,0.000000000,0.000000000,-0.041934140,0.999120377
1782472964.472275734,3.822124004,10,vicon_state_data,ball,1,0,2.280210419,-0.115074844,1.043161179,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822123603,-0.459766483,0.820766818,0.000000000,0.000000000,-0.041733515,0.999128777
1782472964.472339153,3.822187424,11,vicon_state_data,ball,1,0,2.213189196,-0.137225880,1.026005051,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822130426,-0.459795658,0.820772613,0.000000000,0.000000000,-0.042118398,0.999112627
1782472964.534776211,3.884624481,12,vicon_state_data,ball,1,0,2.202923374,-0.140728413,1.022852232,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822132111,-0.459753553,0.820774726,0.000000000,0.000000000,-0.042035600,0.999116114
1782472964.534955978,3.884804249,13,vicon_state_data,ball,1,0,2.193759600,-0.143862430,1.020385735,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822127280,-0.459767425,0.820759585,0.000000000,0.000000000,-0.042160807,0.999110838
1782472964.535042763,3.884891033,14,vicon_state_data,ball,1,0,2.184001370,-0.147275784,1.017362315,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822088495,-0.459780749,0.820737546,0.000000000,0.000000000,-0.042229488,0.999107937
1782472964.535119057,3.884967327,15,vicon_state_data,ball,1,0,2.174615202,-0.150516983,1.014735699,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822136240,-0.459747517,0.820756923,0.000000000,0.000000000,-0.042127290,0.999112252
1782472964.535193920,3.885042191,16,vicon_state_data,ball,1,0,2.165288808,-0.153856424,1.011881852,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822125387,-0.459797209,0.820771364,0.000000000,0.000000000,-0.042216794,0.999108474
1782472964.535264015,3.885112286,17,vicon_state_data,ball,1,0,2.155698907,-0.157370759,1.008674184,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822110747,-0.459784398,0.820722062,0.000000000,0.000000000,-0.042230089,0.999107912
1782472964.535332680,3.885180950,18,vicon_state_data,ball,1,0,2.146351204,-0.160683438,1.005093940,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822121701,-0.459771696,0.820735970,0.000000000,0.000000000,-0.042202775,0.999109066
1782472964.535401583,3.885249853,19,vicon_state_data,ball,1,0,2.140655704,-0.164821330,0.998786200,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822148096,-0.459784683,0.820744890,0.000000000,0.000000000,-0.042225839,0.999108092
1782472964.535474539,3.885322809,20,vicon_state_data,ball,1,0,2.129663758,-0.168694574,0.997662654,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822125834,-0.459736043,0.820726790,0.000000000,0.000000000,-0.042050952,0.999115468
1782472964.535544157,3.885392427,21,vicon_state_data,ball,1,0,2.120255544,-0.171291345,0.993293195,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822112259,-0.459735111,0.820700052,0.000000000,0.000000000,-0.041964069,0.999119121
