host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782474743.470787287,32.376034498,22,vicon_state_data,ball,1,0,1.584918413,1.392459895,0.978456777,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822134067,-0.458645924,0.820528863,0.000000000,0.000000000,-0.037152374,0.999309612
1782474743.530323505,32.435570717,23,vicon_state_data,ball,1,0,1.588743869,1.393114647,0.980647992,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822137679,-0.458632340,0.820528859,0.000000000,0.000000000,-0.037224595,0.999306925
1782474743.530532360,32.435779572,24,vicon_state_data,ball,1,0,1.597131370,1.385107849,0.983381477,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822164489,-0.458724899,0.820464090,0.000000000,0.000000000,-0.037659369,0.999290634
1782474743.530641317,32.435888529,25,vicon_state_data,ball,1,0,1.601959781,1.379535670,0.985440305,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822143124,-0.458637916,0.820520247,0.000000000,0.000000000,-0.037156626,0.999309454
1782474743.530719280,32.435966492,26,vicon_state_data,ball,1,0,1.606329267,1.377533497,0.986676082,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822164512,-0.458724360,0.820445920,0.000000000,0.000000000,-0.037748558,0.999287269
1782474743.530793905,32.436041117,27,vicon_state_data,ball,1,0,1.610653601,1.375083021,0.987667591,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822170545,-0.458745217,0.820458427,0.000000000,0.000000000,-0.037766517,0.999286591
1782474743.530867100,32.436114311,28,vicon_state_data,ball,1,0,1.615280177,1.381778942,0.982297695,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822161769,-0.458716489,0.820438471,0.000000000,0.000000000,-0.037748238,0.999287281
1782474743.530939817,32.436187029,29,vicon_state_data,ball,1,0,1.620247632,1.379654918,0.983132163,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822141253,-0.458632827,0.820514703,0.000000000,0.000000000,-0.037146572,0.999309828
1782474743.531012058,32.436259270,30,vicon_state_data,ball,1,0,1.633929107,1.378297175,0.986614617,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822143124,-0.458654008,0.820418559,0.000000000,0.000000000,-0.037960029,0.999279258
1782474743.592373133,32.497620344,31,vicon_state_data,ball,1,0,1.674048068,1.356946472,0.990993323,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822167578,-0.458661847,0.820469327,0.000000000,0.000000000,-0.037160811,0.999309299
1782474743.592591763,32.497838974,32,vicon_state_data,ball,1,0,1.674224705,1.355784111,0.991017084,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822189642,-0.458751145,0.820430792,0.000000000,0.000000000,-0.037563623,0.999294238
1782474743.592684031,32.497931242,33,vicon_state_data,ball,1,0,1.679359020,1.353806098,0.993192729,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822164684,-0.458646703,0.820456825,0.000000000,0.000000000,-0.037044859,0.999313604
1782474743.592766285,32.498013496,34,vicon_state_data,ball,1,0,1.676635046,1.349226489,0.989242930,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822195920,-0.458747743,0.820401326,0.000000000,0.000000000,-0.037625878,0.999291896
1782474743.656250477,32.561497688,35,vicon_state_data,ball,1,0,1.771045772,1.296699365,0.993784909,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822196068,-0.458660459,0.820476079,0.000000000,0.000000000,-0.036922893,0.999318118
