seg,n,dur,frame0,frame1,frame_gap_max,x0,x1,y0,y1,z0,z1,minx,maxx,minz,maxz,cross_x0,incoming,dt_med_ms,dt_max_ms,max_step_cm,max_speed,med_speed,candidate
17,504,2.1133333329926245,64241261,64241895,15,2.816431195,-0.796447578,-0.03221334,0.443297318,1.11930433,1.186132816,-0.796447578,2.817295516,0.765788662,1.585486807,True,True,3.33333300659433,49.99999998835847,17.08483228854526,5.324616226059533,2.383670971706888,True
18,35,0.23666666701319627,64245571,64245642,14,2.931620391,3.064505255,0.793737969,0.599056444,1.030675278,1.046930275,2.931620391,3.064505255,1.020791576,1.046930275,False,False,3.33333300659433,46.66666701086797,5.021061469437503,1.4629995616396727,1.016814140513933,False
19,699,2.976666667003883,64245760,64246653,23,3.145434952,-0.286339035,0.214064371,0.484751991,1.04154815,0.519355845,-0.286339035,3.145434952,0.519355845,1.463958064,True,True,3.33333300659433,76.66666700970381,13.281634854178678,4.757541285086405,1.127897800703102,True
20,492,2.1266666669980623,64250340,64250978,15,2.668218656,-0.775644136,-0.149702456,0.590136999,1.113046723,1.356083256,-0.775644136,2.706285599,0.762772639,1.645806053,True,True,3.33333300659433,50.0000000174623,16.32837292243292,5.395743948965148,2.838596689426812,True
21,781,3.150000000023283,64254653,64255598,15,3.120553064,-0.747277655,0.31609954,0.162184085,1.077951906,0.52118073,-0.747277655,3.124943458,0.52118073,1.456182005,True,True,3.33333300659433,50.0000000174623,16.182390159203823,4.717792944689247,0.7970380420759745,True
22,519,2.156666666996898,64259464,64260111,16,2.865080423,-0.215289795,-0.135224554,0.84866875,1.053535673,0.518234563,-0.215289795,2.871202969,0.518234563,1.378954555,True,True,3.33333300659433,53.333334013586864,15.336110526928017,5.214318152602991,2.286149937870921,True
23,580,2.343333333003102,64263545,64264248,15,2.927459907,-0.796899572,-0.11224876,0.717114403,1.099220269,1.167617823,-0.796899572,2.940902196,0.764053556,1.581613759,True,True,3.33333300659433,49.99999998835847,16.732289144446057,5.56389728243437,2.2688546905057336,True
24,805,3.5033333340252284,64268038,64269089,52,3.045073022,-0.763850805,0.401835148,0.098255799,1.079035719,0.510509653,-0.763850805,3.045398319,0.510509653,1.417075087,True,True,3.33333300659433,173.33333400893025,15.061480932314922,4.716265431674666,0.6862117926723603,True
25,29,0.20999999999185093,64273089,64273152,15,3.081660395,2.988299082,-0.035221333,-0.034254199,1.086418535,1.113806107,2.988299082,3.081660395,1.086418535,1.116964192,False,True,3.33333300659433,49.99999998835847,2.5124870382529063,0.7250963962767949,0.5408731311897361,False
26,687,2.669999999983702,64273271,64274072,15,2.865292273,-0.793736231,-0.003390323,0.019999961,1.160863232,0.807475448,-0.793736231,2.905100649,0.773398977,1.443187041,True,True,3.33333300659433,50.0000000174623,15.339511371610751,4.719528432798844,0.9197054336398883,True
27,513,2.3066666669910774,64278748,64279440,46,2.925035706,-0.798455532,-0.263300347,0.572545625,1.094706532,0.685968941,-0.798455532,2.925035706,0.685968941,1.414091988,True,True,3.33333300659433,153.3333339903038,15.971834759651857,5.0134571039337334,2.69697983213835,True
28,532,2.2566666660131887,64283681,64284358,15,2.803336019,-0.678644164,-0.266199092,0.684682336,1.125735494,0.521946379,-0.678644164,2.826488341,0.521946379,1.547221144,True,True,3.33333300659433,50.0000000174623,14.842210903049116,4.6776487074918,2.605401378254786,True
29,487,1.9400000000023283,64287778,64288360,15,2.904381012,-0.793856104,-0.072502626,0.221237894,1.117131354,1.032881472,-0.793856104,2.904381012,0.765024383,1.532004144,True,True,3.33333300659433,50.0000000174623,15.489539265700014,4.971242955263886,2.508502403543582,True
30,4,0.013333333976333961,64292374,64292378,2,2.792164817,2.789349654,-0.234158627,-0.234859523,1.089552001,1.091042908,2.789349654,2.792164817,1.088809762,1.091042908,False,True,3.3333339961245656,6.66666598408483,0.2711144446224622,0.8133431721443696,0.47698139568923376,False
31,306,1.266666665993398,64292606,64292986,15,2.754668357,-0.637669715,-0.217564814,0.584209245,1.192885691,0.51116912,-0.637669715,2.754668357,0.51116912,1.399048409,True,True,3.33333300659433,49.99999998835847,18.38512607769073,4.593618167261783,3.5891973014183525,True
32,7,0.07000000000698492,64296412,64296433,16,3.109523314,3.098077253,0.288132893,0.24357091,1.048131707,1.034585622,3.098077253,3.109523314,1.034585622,1.048131707,False,True,3.33333300659433,53.33333398448303,3.758489375678854,0.8572568021720887,0.6355214114309788,False
33,94,0.5166666670120321,64296747,64296902,15,2.904289977,2.923200625,-0.152093512,-0.078570993,1.059964697,1.17009693,2.881830507,2.923200625,1.059964697,1.170247765,False,False,3.33333300659433,50.0000000174623,2.7473491950243276,2.9237777062020864,0.301644038325881,False
34,273,1.2833333330054302,64296986,64297371,15,2.830054685,-0.190576094,-0.056020343,-0.010345664,1.172127341,0.513424781,-0.190576094,2.830054685,0.513424781,1.407435264,True,True,3.33333300659433,50.0000000174623,16.039389119794052,4.417253101302039,3.1059218678998244,True
35,10,0.029999999998835847,64300617,64300626,1,2.806467448,2.834170742,0.934720897,0.919103242,1.19861497,1.195638576,2.806467448,2.834170742,1.195482117,1.19861497,False,False,3.33333300659433,3.3333339961245656,0.5194560416677975,1.558368291363649,1.057269785451335,False
36,402,1.7466666660038754,64301276,64301800,19,2.91438564,-0.796950975,-0.047426494,-0.276168876,1.197376344,1.209606218,-0.796950975,2.920053652,0.76748473,1.51460034,True,True,3.33333300659433,63.333333004266024,15.438687040965348,5.113753105343874,2.795719720374759,True
37,664,2.7400000000197906,64305529,64306351,14,2.839782086,-0.733684638,-0.003663497,0.286204026,1.086414697,0.518149266,-0.733684638,2.861374141,0.518149266,1.278116077,True,True,3.33333300659433,46.66666701086797,12.573469149647181,4.116625369557836,1.9875402872913532,True
38,448,2.156666666996898,64309522,64310169,70,2.964443003,-0.797252966,-0.073083796,0.478132213,1.115078467,1.097665014,-0.797252966,2.964443003,0.770080237,1.539889916,True,True,3.33333300659433,233.3333330170717,15.506274290616423,4.95763664272172,2.5315894473720335,True
39,584,2.563333332975162,64313630,64314399,17,3.050861651,-0.656364099,-0.017903028,0.119203793,1.102318664,0.514467494,-0.656364099,3.056246439,0.514467494,1.379627345,True,True,3.33333300659433,56.66666600154713,13.334636006839792,6.249512984165041,2.083474275007282,True
40,618,2.8699999999953434,64317788,64318649,15,3.15121348,-0.47411044,0.05146414,-0.07229972,1.06300726,0.520308379,-0.47411044,3.15121348,0.520308379,1.366629343,True,True,3.3333339961245656,50.0000000174623,13.820531867742009,4.37490609305818,0.9429277530264182,True
41,462,2.179999999993015,64322889,64323543,21,2.808307802,-0.188312778,-0.057308286,-0.187127015,1.107612819,0.518718348,-0.189321415,2.808307802,0.518718348,1.537655942,True,True,3.3333339961245656,70.00000000698492,11.039524368614273,4.672186870291642,2.149487800267043,True
42,379,1.9466666670050472,64327662,64328246,34,2.848810114,-0.314933953,-0.124266895,-0.123863094,1.113411233,0.539439581,-0.314933953,2.863396922,0.539439581,1.412841976,True,True,3.3333339961245656,113.33333398215473,12.645069761383965,4.318160563324719,2.8150782511863555,True
43,547,2.413333333010087,64331274,64331998,14,2.880592879,-0.798354709,-0.071515308,0.172928898,1.107743348,1.013927258,-0.798354709,2.880592879,0.764947305,1.669044891,True,True,3.33333300659433,46.66666701086797,13.253635020854759,4.80886450917121,1.965810862549935,True
44,513,2.21666666699457,64335583,64336248,14,2.757110057,-0.795985336,-0.044378331,0.031284981,1.151779335,0.771614876,-0.795985336,2.813684402,0.766101721,1.467250996,True,True,3.33333300659433,46.66666701086797,12.854078961122145,4.908623540392835,2.2312975092149046,True
45,437,1.9733333329786547,64341042,64341634,15,2.89409739,-0.795818043,-0.020623579,0.695007564,1.141063519,0.758574958,-0.795818043,2.922728156,0.758574958,1.497602346,True,True,3.33333300659433,49.99999998835847,14.689443292532076,4.790363940499835,2.641745850128454,True
46,4,0.18666666699573398,64349778,64349834,24,0.62096391,0.628161655,0.050617914,0.045044194,0.78504615,0.779901361,0.62096391,0.628161655,0.779901361,0.78504615,False,False,73.33333298447542,80.00000001629815,0.9570697322057696,0.13050950955800417,0.04315947411994327,False
47,1,0.0,64349992,64349992,0,0.621189279,0.621189279,0.049368387,0.049368387,0.783398267,0.783398267,0.621189279,0.621189279,0.783398267,0.783398267,False,False,0.0,0.0,0.0,0.0,0.0,False
48,1,0.0,64350507,64350507,0,0.709848937,0.709848937,-0.002201438,-0.002201438,0.743840526,0.743840526,0.709848937,0.709848937,0.743840526,0.743840526,False,False,0.0,0.0,0.0,0.0,0.0,False
49,4,0.27999999999883585,64351930,64352014,66,0.299026965,0.337927785,0.264551993,0.188242734,0.956371267,0.894415254,0.299026965,0.337927785,0.894415254,0.956948009,False,False,56.66666600154713,220.00000000116415,10.279372580136549,1.8140069471981815,1.0594694250284016,False
50,3,0.08666666698991321,64352308,64352334,25,0.299206271,0.299137846,0.264263594,0.264089085,0.956464689,0.95590467,0.299137846,0.300734862,0.95590467,0.958191541,False,True,43.333333494956605,83.33333299378864,0.3281822868423307,0.8343916333848815,0.43688675398321203,False
51,1,0.0,64352515,64352515,0,0.331304732,0.331304732,0.183041682,0.183041682,0.89027446,0.89027446,0.331304732,0.331304732,0.89027446,0.89027446,False,False,0.0,0.0,0.0,0.0,0.0,False
52,1,0.0,64352758,64352758,0,0.297164881,0.297164881,0.262153427,0.262153427,0.954744104,0.954744104,0.297164881,0.297164881,0.954744104,0.954744104,False,False,0.0,0.0,0.0,0.0,0.0,False
53,2,0.16999999998370185,64352864,64352915,51,0.354801445,0.325899673,0.208485249,0.184191768,0.910899452,0.891542066,0.325899673,0.354801445,0.891542066,0.910899452,False,True,169.99999998370185,169.99999998370185,4.242869355271668,0.24958055033402576,0.24958055033402576,False
54,1,0.0,64353071,64353071,0,0.299972061,0.299972061,0.264834938,0.264834938,0.956695961,0.956695961,0.299972061,0.299972061,0.956695961,0.956695961,False,False,0.0,0.0,0.0,0.0,0.0,False
55,1,0.0,64353201,64353201,0,0.299422819,0.299422819,0.264389268,0.264389268,0.956587129,0.956587129,0.299422819,0.299422819,0.956587129,0.956587129,False,False,0.0,0.0,0.0,0.0,0.0,False
56,2,0.06666666601086035,64353386,64353406,20,1.788915516,0.324703503,-0.000614426,0.181280881,0.736197054,0.889305824,0.324703503,1.788915516,0.736197054,0.889305824,False,True,66.66666601086035,66.66666601086035,148.338970509204,22.250845795264276,22.250845795264276,False
57,59,1.8299999999871943,64353587,64354136,40,0.326254299,0.29966893,0.183728658,0.264596581,0.890917485,0.95635768,0.282292428,0.64655848,0.744373876,0.957375858,False,True,23.333333985647187,133.33333400078118,44.49480764078951,11.620824489669861,1.1938964430216155,False
58,13,1.2333333329879679,64354275,64354645,75,1.796292791,0.256904058,-0.003477234,0.238060091,0.736283318,0.934500134,0.256904058,1.796292791,0.730200376,0.958403226,False,True,86.66666649514809,250.0,153.05957057386155,24.063532642013282,4.839152106681449,False
59,12,0.5499999999883585,64354780,64354945,53,0.299410645,0.292127555,0.264421167,0.162227644,0.956359801,0.874247924,0.250026542,0.300606875,0.874247924,0.957580629,False,True,16.666665993398055,176.66666599689052,9.323542661115692,9.323542679567547,0.6549585422272765,False
60,4,0.16333333399961703,64355053,64355102,26,0.293283218,0.30838091,0.214188825,0.262172219,0.915522291,0.953545173,0.250226862,0.30838091,0.915522291,0.956079408,False,False,73.33333400310948,86.66666600038297,5.918909220619724,2.84903591129317,0.7288176977137488,False
61,866,15.769999999989523,64355198,64359929,72,0.298208734,1.370605121,0.212788293,-0.336679294,0.914222495,0.885611851,0.239431,1.430492365,0.64352929,1.109614033,False,False,6.666667002718896,239.99999999068677,111.12732756394543,11.83742035775006,3.4103661195041792,False
