host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782472597.479421616,23.797130108,0,vicon_state_data,ball,1,0,2.729227415,-0.010051310,1.100691593,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822028315,-0.459725763,0.820622858,0.000000000,0.000000000,-0.037127977,0.999310519
1782472597.479521275,23.797229767,1,vicon_state_data,ball,1,0,2.728313781,-0.009549730,1.101276112,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822025767,-0.459754788,0.820624273,0.000000000,0.000000000,-0.037185015,0.999308398
1782472597.479583263,23.797291756,2,vicon_state_data,ball,1,0,2.727389724,-0.010002391,1.101676580,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822035802,-0.459768721,0.820631459,0.000000000,0.000000000,-0.037230687,0.999306698
1782472597.539700985,23.857409477,3,vicon_state_data,ball,1,0,2.722499367,-0.006400041,1.106571044,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822034414,-0.459729754,0.820678340,0.000000000,0.000000000,-0.036864871,0.999320260
1782472597.539874554,23.857583046,4,vicon_state_data,ball,1,0,2.721787482,-0.005504801,1.107527338,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822032928,-0.459725785,0.820652746,0.000000000,0.000000000,-0.036944295,0.999317327
1782472597.539957762,23.857666254,5,vicon_state_data,ball,1,0,2.721049575,-0.005069688,1.108230308,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822029660,-0.459727106,0.820638976,0.000000000,0.000000000,-0.036932263,0.999317771
1782472597.540030241,23.857738733,6,vicon_state_data,ball,1,0,2.720326413,-0.004645845,1.108809182,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822035723,-0.459745507,0.820638052,0.000000000,0.000000000,-0.036967654,0.999316463
1782472597.540098906,23.857807398,7,vicon_state_data,ball,1,0,2.719642350,-0.003647830,1.109767407,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822018219,-0.459648370,0.820702384,0.000000000,0.000000000,-0.036468273,0.999334811
1782472597.540173769,23.857882261,8,vicon_state_data,ball,1,0,2.718975797,-0.003228399,1.110305660,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822033038,-0.459740314,0.820615871,0.000000000,0.000000000,-0.036648420,0.999328221
1782472597.540243387,23.857951880,9,vicon_state_data,ball,1,0,2.718294392,-0.002878518,1.111042592,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822022835,-0.459635816,0.820695462,0.000000000,0.000000000,-0.036427076,0.999336314
1782472597.540308475,23.858016968,10,vicon_state_data,ball,1,0,2.717638852,-0.001968235,1.111766239,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822040070,-0.459695130,0.820653603,0.000000000,0.000000000,-0.036892120,0.999319254
1782472597.540374756,23.858083248,11,vicon_state_data,ball,1,0,2.717010962,-0.001085190,1.112906416,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822041989,-0.459708670,0.820647397,0.000000000,0.000000000,-0.036892981,0.999319222
