[2026-06-03 21:15:34,899][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f98711da0e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:15:38,942][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f98711d9120>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:15:46,952][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f9870525720>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:16:21,253][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f985b6b60e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:16:21,256][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f985b6b6c50>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:16:22,279][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f985b6b7310>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:16:22,279][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f985b6b62c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:16:24,342][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f985b6b7af0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:16:24,342][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f985b6b6bc0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:16:28,364][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f985b6b7ee0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:16:28,366][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f985b6b7eb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:16:36,414][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f985b098eb0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:16:36,415][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f985b098f40>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:25:46,989][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97e584e830>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:25:48,013][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97e584e9e0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:25:50,039][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97e584fa90>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:25:54,096][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97e454cee0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:26:02,114][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97e454e260>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/house/experiments/ynmq31cfmk2wpye9d8h47/heartbeat
[2026-06-03 21:30:38,845][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97a25cb550>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:30:38,848][urllib3.connectionpool][WARNING] - Retrying (Retry(total=4, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97a25cbf70>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:30:39,882][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97a25cb610>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:30:39,882][urllib3.connectionpool][WARNING] - Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97a25cbf10>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:30:41,940][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97a25cb9a0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:30:41,940][urllib3.connectionpool][WARNING] - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97a25cb8b0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:30:45,961][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97a2031090>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:30:45,962][urllib3.connectionpool][WARNING] - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97a20310f0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:30:54,025][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97a2032080>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
[2026-06-03 21:30:54,025][urllib3.connectionpool][WARNING] - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f97a20313c0>: Failed to establish a new connection: [Errno 111] Connection refused')': /api/experiment/ynmq31cfmk2wpye9d8h47/files/prepare
