host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id
1782463466.249998093,8.414695263,2511,vicon_state_data,ball,1,0,3.022821840,-0.230475114,0.849633293,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867104478,-0.383169122,0.820161306,0.000000000,0.000000000,-0.011162225,0.999937700,3
1782463466.253356457,8.418053627,2512,vicon_state_data,ball,1,0,3.021738249,-0.230101736,0.848967603,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867175153,-0.383152999,0.820242303,0.000000000,0.000000000,-0.010752093,0.999942195,3
1782463466.257285595,8.421982765,2513,vicon_state_data,ball,1,0,3.020482206,-0.228787399,0.848807160,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867165350,-0.383018771,0.820219937,0.000000000,0.000000000,-0.010682825,0.999942937,3
1782463466.260325670,8.425022840,2514,vicon_state_data,ball,1,0,3.019257658,-0.227918816,0.848471988,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867186364,-0.383032612,0.820265001,0.000000000,0.000000000,-0.010617136,0.999943637,3
1782463466.263287544,8.427984715,2515,vicon_state_data,ball,1,0,3.017977733,-0.226870042,0.848194115,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867080188,-0.382998067,0.820151852,0.000000000,0.000000000,-0.011190623,0.999937383,3
1782463466.266782761,8.431479931,2516,vicon_state_data,ball,1,0,3.016539900,-0.225066292,0.848254164,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866624975,-0.383096343,0.819565261,0.000000000,0.000000000,-0.014196157,0.999899229,3
1782463466.269962072,8.434659243,2517,vicon_state_data,ball,1,0,3.015158766,-0.223621897,0.848192208,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866594732,-0.383072054,0.819574569,0.000000000,0.000000000,-0.014313749,0.999897553,3
1782463466.273268223,8.437965393,2518,vicon_state_data,ball,1,0,3.013639895,-0.221975015,0.848150553,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866633037,-0.382956355,0.819633738,0.000000000,0.000000000,-0.013864678,0.999903881,3
1782463466.276600599,8.441297770,2519,vicon_state_data,ball,1,0,3.012186270,-0.220143531,0.848211484,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866602911,-0.382952291,0.819618569,0.000000000,0.000000000,-0.014047984,0.999901322,3
1782463466.279871941,8.444569111,2520,vicon_state_data,ball,1,0,3.010606332,-0.218210743,0.848559571,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866563173,-0.382964530,0.819585811,0.000000000,0.000000000,-0.014412627,0.999896133,3
1782463466.283727169,8.448424339,2521,vicon_state_data,ball,1,0,3.009126541,-0.216911471,0.848446368,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866554757,-0.383013224,0.819577877,0.000000000,0.000000000,-0.014598016,0.999893443,3
1782463466.286910295,8.451607466,2522,vicon_state_data,ball,1,0,3.007421079,-0.214393710,0.849092300,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866548599,-0.382991960,0.819602603,0.000000000,0.000000000,-0.014667055,0.999892433,3
1782463466.290418863,8.455116034,2523,vicon_state_data,ball,1,0,3.005776953,-0.212427258,0.849450421,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866563169,-0.382917807,0.819649760,0.000000000,0.000000000,-0.014400430,0.999896308,3
1782463466.294622421,8.459319592,2524,vicon_state_data,ball,1,0,3.004061087,-0.210304883,0.850032801,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866550962,-0.382876689,0.819662173,0.000000000,0.000000000,-0.014459727,0.999895453,3
1782463466.296685457,8.461382627,2525,vicon_state_data,ball,1,0,3.002341208,-0.208493621,0.850311282,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866809025,-0.382427671,0.819739057,0.000000000,0.000000000,-0.010962453,0.999939911,3
1782463466.299936771,8.464633942,2526,vicon_state_data,ball,1,0,3.000681771,-0.206598253,0.850817423,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866543026,-0.382798583,0.819671886,0.000000000,0.000000000,-0.014404871,0.999896244,3
1782463466.303353071,8.468050241,2527,vicon_state_data,ball,1,0,2.998888881,-0.204382128,0.851666544,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866499926,-0.382801986,0.819679706,0.000000000,0.000000000,-0.014625558,0.999893041,3
1782463466.306763887,8.471461058,2528,vicon_state_data,ball,1,0,2.997162720,-0.202332315,0.852305900,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866511768,-0.382743651,0.819651345,0.000000000,0.000000000,-0.014604644,0.999893347,3
1782463466.309900761,8.474597931,2529,vicon_state_data,ball,1,0,2.995388549,-0.200187822,0.853052288,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866509723,-0.382684760,0.819709589,0.000000000,0.000000000,-0.014450746,0.999895583,3
1782463466.313351393,8.478048563,2530,vicon_state_data,ball,1,0,2.993539505,-0.197940439,0.854008667,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866474745,-0.382686082,0.819672559,0.000000000,0.000000000,-0.014682918,0.999892200,3
