host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id
1782463497.293339491,39.458036661,11377,vicon_state_data,ball,1,0,3.121347603,-0.202130349,0.886264742,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863533839,-0.378713454,0.819921629,0.000000000,0.000000000,0.002698443,0.999996359,13
1782463497.296596289,39.461293459,11378,vicon_state_data,ball,1,0,3.120667029,-0.201700599,0.884522995,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863517590,-0.378965677,0.820085368,0.000000000,0.000000000,0.001587430,0.999998740,13
1782463497.300105333,39.464802504,11379,vicon_state_data,ball,1,0,3.120087957,-0.202160850,0.882322594,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863526833,-0.378957381,0.820081988,0.000000000,0.000000000,0.001560239,0.999998783,13
1782463497.303393841,39.468091011,11380,vicon_state_data,ball,1,0,3.119313283,-0.201477644,0.880730925,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863614400,-0.378758713,0.819890632,0.000000000,0.000000000,0.002659859,0.999996463,13
1782463497.306922197,39.471619368,11381,vicon_state_data,ball,1,0,3.118712295,-0.202049914,0.878377476,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863581072,-0.378985948,0.820100181,0.000000000,0.000000000,0.001612537,0.999998700,13
1782463497.310149431,39.474846601,11382,vicon_state_data,ball,1,0,3.117977616,-0.201621444,0.876679518,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863650164,-0.378776357,0.819899482,0.000000000,0.000000000,0.002620277,0.999996567,13
1782463497.313350677,39.478047848,11383,vicon_state_data,ball,1,0,3.117220071,-0.201230976,0.875004680,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863595294,-0.379017262,0.820050994,0.000000000,0.000000000,0.001487494,0.999998894,13
1782463497.316717863,39.481415033,11384,vicon_state_data,ball,1,0,3.116452342,-0.201020085,0.872998859,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863691022,-0.378745417,0.819865907,0.000000000,0.000000000,0.002784590,0.999996123,13
1782463497.320031881,39.484729052,11385,vicon_state_data,ball,1,0,3.115614187,-0.200646837,0.871218521,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863644397,-0.379001440,0.820030526,0.000000000,0.000000000,0.001625432,0.999998679,13
1782463497.323435545,39.488132715,11386,vicon_state_data,ball,1,0,3.114791070,-0.199932640,0.869642813,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863664558,-0.379013466,0.820065162,0.000000000,0.000000000,0.001681135,0.999998587,13
1782463497.326705456,39.491402626,11387,vicon_state_data,ball,1,0,3.113931366,-0.199196892,0.868009552,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863680292,-0.379038333,0.820007879,0.000000000,0.000000000,0.001612546,0.999998700,13
1782463497.330245733,39.494942904,11388,vicon_state_data,ball,1,0,3.112980990,-0.198671845,0.866365216,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863711538,-0.379051428,0.820039182,0.000000000,0.000000000,0.001724078,0.999998514,13
1782463497.333494186,39.498191357,11389,vicon_state_data,ball,1,0,3.112023059,-0.197686345,0.864920175,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863724211,-0.379038946,0.820014264,0.000000000,0.000000000,0.001642329,0.999998651,13
1782463497.337041616,39.501738787,11390,vicon_state_data,ball,1,0,3.111076248,-0.196715196,0.863463542,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863830675,-0.378826901,0.819892524,0.000000000,0.000000000,0.003011534,0.999995465,13
1782463497.340261698,39.504958868,11391,vicon_state_data,ball,1,0,3.110012975,-0.195795048,0.861859965,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863744451,-0.379109706,0.820007721,0.000000000,0.000000000,0.001411950,0.999999003,13
1782463497.343424082,39.508121252,11392,vicon_state_data,ball,1,0,3.108933100,-0.194494650,0.860670519,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863761940,-0.379134047,0.820002742,0.000000000,0.000000000,0.001415525,0.999998998,13
1782463497.346662998,39.511360168,11393,vicon_state_data,ball,1,0,3.107961304,-0.193804242,0.858955414,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.863805833,-0.379125166,0.820027223,0.000000000,0.000000000,0.001646549,0.999998644,13
