host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782480246.796393394,26.031500578,0,vicon_state_data,ball,1,0,2.826019707,-0.110879874,1.083070106,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822443477,-0.459914712,0.820784477,0.000000000,0.000000000,-0.034161287,0.999416333
1782480246.796581030,26.031688213,1,vicon_state_data,ball,1,0,2.826974907,-0.114283661,1.079850757,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822439036,-0.459975992,0.820708563,0.000000000,0.000000000,-0.034603760,0.999401111
1782480246.796693802,26.031800985,2,vicon_state_data,ball,1,0,2.826498173,-0.114082857,1.079947943,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822443003,-0.459975766,0.820715599,0.000000000,0.000000000,-0.034580753,0.999401907
1782480246.796930313,26.032037497,3,vicon_state_data,ball,1,0,2.826038286,-0.113908512,1.080010237,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822445317,-0.459966927,0.820700945,0.000000000,0.000000000,-0.034585826,0.999401731
1782480246.797097921,26.032205105,4,vicon_state_data,ball,1,0,2.825553781,-0.113628538,1.080138413,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822444041,-0.459915903,0.820755623,0.000000000,0.000000000,-0.034155052,0.999416546
1782480246.797292709,26.032399893,5,vicon_state_data,ball,1,0,2.824985928,-0.113397494,1.080233152,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822448857,-0.459923259,0.820761700,0.000000000,0.000000000,-0.034172039,0.999415965
1782480246.797449589,26.032556772,6,vicon_state_data,ball,1,0,2.819899733,-0.110334041,1.081510244,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822457154,-0.459977410,0.820678729,0.000000000,0.000000000,-0.034336946,0.999410313
1782480246.875877380,26.110984564,7,vicon_state_data,ball,1,0,2.819208323,-0.110164089,1.081335409,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822461014,-0.459910340,0.820737004,0.000000000,0.000000000,-0.033863673,0.999426461
1782480246.876103401,26.111210585,8,vicon_state_data,ball,1,0,2.818467319,-0.110039149,1.081328285,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822462502,-0.460005368,0.820638528,0.000000000,0.000000000,-0.034401774,0.999408084
1782480246.876203537,26.111310720,9,vicon_state_data,ball,1,0,2.817710989,-0.109730920,1.081388729,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822461338,-0.460000902,0.820657894,0.000000000,0.000000000,-0.034402948,0.999408043
1782480246.876284599,26.111391783,10,vicon_state_data,ball,1,0,2.816961152,-0.109532710,1.081325311,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822453709,-0.459986605,0.820638162,0.000000000,0.000000000,-0.034365746,0.999409323
1782480246.876359701,26.111466885,11,vicon_state_data,ball,1,0,2.816076407,-0.109504309,1.081461010,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822447025,-0.459966132,0.820660843,0.000000000,0.000000000,-0.034345602,0.999410016
1782480246.876432657,26.111539841,12,vicon_state_data,ball,1,0,2.815318197,-0.109452524,1.081500165,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822448516,-0.459985252,0.820617899,0.000000000,0.000000000,-0.034480260,0.999405379
1782480246.876503229,26.111610413,13,vicon_state_data,ball,1,0,2.814495798,-0.109291175,1.081655450,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822447300,-0.460012141,0.820616782,0.000000000,0.000000000,-0.034525674,0.999403811
1782480246.876574516,26.111681700,14,vicon_state_data,ball,1,0,2.813692676,-0.108773215,1.081739713,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822441138,-0.459997687,0.820632114,0.000000000,0.000000000,-0.034531456,0.999403611
1782480246.876646757,26.111753941,15,vicon_state_data,ball,1,0,2.812920739,-0.108429206,1.081855343,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822435645,-0.459987264,0.820628657,0.000000000,0.000000000,-0.034571172,0.999402238
1782480246.876719713,26.111826897,16,vicon_state_data,ball,1,0,2.812070208,-0.108431858,1.082293982,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822434266,-0.459993079,0.820642410,0.000000000,0.000000000,-0.034565851,0.999402422
1782480246.947795153,26.182902336,17,vicon_state_data,ball,1,0,2.802339831,-0.108730010,1.083109721,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822426732,-0.460044349,0.820658353,0.000000000,0.000000000,-0.034261972,0.999412886
1782480246.948039055,26.183146238,18,vicon_state_data,ball,1,0,2.801671861,-0.108664755,1.083404621,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822423877,-0.459988197,0.820701568,0.000000000,0.000000000,-0.033943162,0.999423765
1782480246.948135853,26.183243036,19,vicon_state_data,ball,1,0,2.801092558,-0.108674423,1.083397540,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822410060,-0.460000366,0.820667751,0.000000000,0.000000000,-0.034263558,0.999412832
1782480246.948229313,26.183336496,20,vicon_state_data,ball,1,0,2.800501397,-0.108809803,1.083447848,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822413361,-0.460023245,0.820685053,0.000000000,0.000000000,-0.034285310,0.999412086
1782480246.948308229,26.183415413,21,vicon_state_data,ball,1,0,2.799863238,-0.109124639,1.083516872,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822407481,-0.460030654,0.820682272,0.000000000,0.000000000,-0.034226308,0.999414108
1782480246.948383808,26.183490992,22,vicon_state_data,ball,1,0,2.799317627,-0.109207155,1.083511893,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822408104,-0.460044126,0.820690727,0.000000000,0.000000000,-0.034338888,0.999410246
1782480246.948457956,26.183565140,23,vicon_state_data,ball,1,0,2.798717951,-0.109099508,1.083788323,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822410993,-0.460048669,0.820714579,0.000000000,0.000000000,-0.034233230,0.999413871
1782480246.948539972,26.183647156,24,vicon_state_data,ball,1,0,2.798109851,-0.109242705,1.084058549,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822404296,-0.460029188,0.820721365,0.000000000,0.000000000,-0.034289539,0.999411941
1782480246.948614120,26.183721304,25,vicon_state_data,ball,1,0,2.797557833,-0.109241227,1.084297705,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822388117,-0.460036625,0.820717091,0.000000000,0.000000000,-0.034269573,0.999412626
1782480246.948691130,26.183798313,26,vicon_state_data,ball,1,0,2.797171453,-0.109543837,1.084321671,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822389583,-0.460044699,0.820740231,0.000000000,0.000000000,-0.034373970,0.999409040
1782480247.015719175,26.250826359,27,vicon_state_data,ball,1,0,2.791997238,-0.109538287,1.091631333,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822347956,-0.460055102,0.820720295,0.000000000,0.000000000,-0.034405264,0.999407964
1782480247.015930653,26.251037836,28,vicon_state_data,ball,1,0,2.791872250,-0.109408968,1.092090786,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822339556,-0.460029761,0.820710102,0.000000000,0.000000000,-0.034406095,0.999407935
1782480247.016031265,26.251138449,29,vicon_state_data,ball,1,0,2.791780919,-0.109219880,1.092560679,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822342292,-0.460069217,0.820689188,0.000000000,0.000000000,-0.034492229,0.999404966
1782480247.016115665,26.251222849,30,vicon_state_data,ball,1,0,2.791678625,-0.108963003,1.093075599,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822340636,-0.460069544,0.820698651,0.000000000,0.000000000,-0.034442611,0.999406677
1782480247.018405676,26.253512859,31,vicon_state_data,ball,1,0,2.791613957,-0.108743934,1.093578500,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822334386,-0.460051990,0.820702688,0.000000000,0.000000000,-0.034492722,0.999404949
1782480247.020683050,26.255790234,32,vicon_state_data,ball,1,0,2.791575659,-0.108485529,1.094110462,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822337666,-0.460024321,0.820758179,0.000000000,0.000000000,-0.034055923,0.999419929
1782480247.022955418,26.258062601,33,vicon_state_data,ball,1,0,2.791539460,-0.108207485,1.094651825,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822339271,-0.460089791,0.820724201,0.000000000,0.000000000,-0.034394811,0.999408323
1782480247.025302172,26.260409355,34,vicon_state_data,ball,1,0,2.791496143,-0.107935888,1.095224365,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822340639,-0.460089892,0.820727249,0.000000000,0.000000000,-0.034323640,0.999410770
1782480247.027698517,26.262805700,35,vicon_state_data,ball,1,0,2.791430547,-0.107570251,1.095852677,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822338843,-0.460099454,0.820727085,0.000000000,0.000000000,-0.034387366,0.999408580
1782480247.030053616,26.265160799,36,vicon_state_data,ball,1,0,2.791386355,-0.107258176,1.096423849,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822334201,-0.460116528,0.820720248,0.000000000,0.000000000,-0.034388048,0.999408556
1782480247.032546520,26.267653704,37,vicon_state_data,ball,1,0,2.792392931,-0.102553261,1.103836181,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822344974,-0.460068863,0.820699271,0.000000000,0.000000000,-0.034234240,0.999413837
1782480247.035732985,26.270840168,38,vicon_state_data,ball,1,0,2.792613258,-0.102126606,1.104484187,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822329361,-0.460090547,0.820698814,0.000000000,0.000000000,-0.034300144,0.999411577
