host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id
1782478691.850637913,29.986533880,123,vicon_state_data,ball,1,0,2.684296968,-0.041552539,1.098708356,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821975887,-0.459912244,0.820670102,0.000000000,0.000000000,-0.035681619,0.999363208,0
1782478691.852951527,29.988847494,124,vicon_state_data,ball,1,0,2.684762269,-0.040958550,1.099075998,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821978080,-0.459932321,0.820651964,0.000000000,0.000000000,-0.035702629,0.999362458,0
1782478691.855256796,29.991152763,125,vicon_state_data,ball,1,0,2.685073495,-0.041383519,1.097646274,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821978301,-0.459877837,0.820714436,0.000000000,0.000000000,-0.035351830,0.999374929,0
1782478691.857509136,29.993405104,126,vicon_state_data,ball,1,0,2.685287135,-0.040074906,1.098895093,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821977891,-0.459908548,0.820725964,0.000000000,0.000000000,-0.035318032,0.999376124,0
1782478691.859799385,29.995695353,127,vicon_state_data,ball,1,0,2.685546762,-0.039571731,1.098816325,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821986820,-0.459950251,0.820679305,0.000000000,0.000000000,-0.035693448,0.999362786,0
1782478691.860976696,29.996872663,128,vicon_state_data,ball,1,0,2.685810426,-0.039173156,1.098684932,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821976007,-0.459944082,0.820692005,0.000000000,0.000000000,-0.035797360,0.999359069,0
1782478691.862173080,29.998069048,129,vicon_state_data,ball,1,0,2.686092181,-0.038756936,1.098542352,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821982020,-0.459887217,0.820731146,0.000000000,0.000000000,-0.035276412,0.999377594,0
1782478691.863346100,29.999242067,130,vicon_state_data,ball,1,0,2.686388998,-0.038373376,1.098375424,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821990828,-0.459956220,0.820673761,0.000000000,0.000000000,-0.035766932,0.999360159,0
1782478691.864520788,30.000416756,131,vicon_state_data,ball,1,0,2.690647033,-0.032288869,1.096020482,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.821994480,-0.459899931,0.820727426,0.000000000,0.000000000,-0.035236941,0.999378986,0
1782478691.865785360,30.001681328,132,vicon_state_data,ball,1,0,2.691052869,-0.031277846,1.095433875,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822003696,-0.459902407,0.820735796,0.000000000,0.000000000,-0.035275500,0.999377626,0
1782478691.867267370,30.003163338,133,vicon_state_data,ball,1,0,2.691456541,-0.030772177,1.095400544,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822000650,-0.459953821,0.820660930,0.000000000,0.000000000,-0.035645692,0.999364490,0
1782478691.868734360,30.004630327,134,vicon_state_data,ball,1,0,2.691904536,-0.030446064,1.095148443,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822020198,-0.459974189,0.820701437,0.000000000,0.000000000,-0.035552112,0.999367824,0
1782478691.870187759,30.006083727,135,vicon_state_data,ball,1,0,2.692331518,-0.030593036,1.095153668,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822015149,-0.459946221,0.820715910,0.000000000,0.000000000,-0.035645103,0.999364511,0
1782478691.871623755,30.007519722,136,vicon_state_data,ball,1,0,2.692756874,-0.030121666,1.094991648,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822007665,-0.459935349,0.820752962,0.000000000,0.000000000,-0.035275703,0.999377619,0
1782478691.873089790,30.008985758,137,vicon_state_data,ball,1,0,2.693219580,-0.030032869,1.094102906,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822003487,-0.459918863,0.820745058,0.000000000,0.000000000,-0.035289597,0.999377128,0
1782478691.874541283,30.010437250,138,vicon_state_data,ball,1,0,2.693704478,-0.029300138,1.094534469,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822024382,-0.459982407,0.820706121,0.000000000,0.000000000,-0.035645274,0.999364505,0
1782478691.949363708,30.085259676,139,vicon_state_data,ball,1,0,2.694205069,-0.028869999,1.094261307,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822015826,-0.459903504,0.820746477,0.000000000,0.000000000,-0.035303993,0.999376620,0
1782478691.951222420,30.087118387,140,vicon_state_data,ball,1,0,2.694708244,-0.028527113,1.094004460,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822019898,-0.459978884,0.820678946,0.000000000,0.000000000,-0.035623600,0.999365278,0
1782478691.952903748,30.088799715,141,vicon_state_data,ball,1,0,2.695223561,-0.027825377,1.093531718,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822016637,-0.459970663,0.820673959,0.000000000,0.000000000,-0.035680678,0.999363242,0
1782478691.954565525,30.090461493,142,vicon_state_data,ball,1,0,2.695739897,-0.027380072,1.093308435,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822024247,-0.459953833,0.820724294,0.000000000,0.000000000,-0.035389526,0.999373595,0
1782478691.956257582,30.092153549,143,vicon_state_data,ball,1,0,2.696273773,-0.027095407,1.093069306,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822018614,-0.459977697,0.820692573,0.000000000,0.000000000,-0.035681874,0.999363199,0
1782478691.957715034,30.093611002,144,vicon_state_data,ball,1,0,2.696824837,-0.026683854,1.092833863,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822022759,-0.459988943,0.820661417,0.000000000,0.000000000,-0.035611889,0.999365696,0
1782478691.959166527,30.095062494,145,vicon_state_data,ball,1,0,2.697385177,-0.026378621,1.092756570,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822026727,-0.459937775,0.820733965,0.000000000,0.000000000,-0.035279454,0.999377486,0
1782478691.960633755,30.096529722,146,vicon_state_data,ball,1,0,2.697936516,-0.026014460,1.092432535,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822028725,-0.459932341,0.820709893,0.000000000,0.000000000,-0.035282442,0.999377381,0
1782478691.962080956,30.097976923,147,vicon_state_data,ball,1,0,2.698497883,-0.025864168,1.091690767,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822030083,-0.459939133,0.820706172,0.000000000,0.000000000,-0.035303034,0.999376654,0
1782478691.963532209,30.099428177,148,vicon_state_data,ball,1,0,2.699103209,-0.025200923,1.091540987,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822028566,-0.459927908,0.820686162,0.000000000,0.000000000,-0.035243154,0.999378767,0
1782478691.964972973,30.100868940,149,vicon_state_data,ball,1,0,2.707539095,-0.019595642,1.089185204,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822060782,-0.460026819,0.820692378,0.000000000,0.000000000,-0.035542777,0.999368156,0
1782478691.966433287,30.102329254,150,vicon_state_data,ball,1,0,2.708167555,-0.019072474,1.088804662,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822054963,-0.460012475,0.820683116,0.000000000,0.000000000,-0.035587004,0.999366582,0
1782478691.967878580,30.103774548,151,vicon_state_data,ball,1,0,2.708823441,-0.019314474,1.088163632,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822062158,-0.460029800,0.820680824,0.000000000,0.000000000,-0.035537943,0.999368328,0
1782478691.969322920,30.105218887,152,vicon_state_data,ball,1,0,2.709476188,-0.018297004,1.088588509,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822064296,-0.460037142,0.820671027,0.000000000,0.000000000,-0.035627584,0.999365136,0
1782478691.970993996,30.106889963,153,vicon_state_data,ball,1,0,2.710136581,-0.017849994,1.088348610,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822085702,-0.460028821,0.820721127,0.000000000,0.000000000,-0.035255775,0.999378322,0
1782478691.972656012,30.108551979,154,vicon_state_data,ball,1,0,2.710763136,-0.017926523,1.087703767,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822062913,-0.460032705,0.820655093,0.000000000,0.000000000,-0.035625998,0.999365193,0
1782478691.974323273,30.110219240,155,vicon_state_data,ball,1,0,2.711381249,-0.017192272,1.087609161,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822076258,-0.460041785,0.820656151,0.000000000,0.000000000,-0.035539935,0.999368257,0
1782478691.975997210,30.111893177,156,vicon_state_data,ball,1,0,2.712014025,-0.017515348,1.086830451,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822069300,-0.459990761,0.820702056,0.000000000,0.000000000,-0.035228977,0.999379267,0
1782478692.049907923,30.185803890,157,vicon_state_data,ball,1,0,2.712635184,-0.017205129,1.086703177,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822081039,-0.460018872,0.820703930,0.000000000,0.000000000,-0.035143419,0.999382279,0
1782478692.051765680,30.187661648,158,vicon_state_data,ball,1,0,2.713220100,-0.016102481,1.086916622,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822080465,-0.459990803,0.820667710,0.000000000,0.000000000,-0.035241591,0.999378822,0
1782478692.053452730,30.189348698,159,vicon_state_data,ball,1,0,2.713817165,-0.015513428,1.087183448,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822082221,-0.460054333,0.820645206,0.000000000,0.000000000,-0.035445362,0.999371616,0
1782478692.055146933,30.191042900,160,vicon_state_data,ball,1,0,2.714391313,-0.015114335,1.086851492,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822097616,-0.460064009,0.820636989,0.000000000,0.000000000,-0.035413474,0.999372746,0
1782478692.056823492,30.192719460,161,vicon_state_data,ball,1,0,2.714974358,-0.014769022,1.086559341,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822097917,-0.460058917,0.820624575,0.000000000,0.000000000,-0.035406789,0.999372983,0
1782478692.058491945,30.194387913,162,vicon_state_data,ball,1,0,2.715549165,-0.014437247,1.086301973,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822097405,-0.460011757,0.820705971,0.000000000,0.000000000,-0.035067322,0.999384952,0
1782478692.060148478,30.196044445,163,vicon_state_data,ball,1,0,2.716092616,-0.014119272,1.085802852,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822099345,-0.460047720,0.820644113,0.000000000,0.000000000,-0.035360757,0.999374613,0
1782478692.061830044,30.197726011,164,vicon_state_data,ball,1,0,2.716638006,-0.013652901,1.085446050,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822093537,-0.460043556,0.820661073,0.000000000,0.000000000,-0.035448170,0.999371516,0
1782478692.063500404,30.199396372,165,vicon_state_data,ball,1,0,2.717206082,-0.014136773,1.084502362,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822098360,-0.460039153,0.820670395,0.000000000,0.000000000,-0.035417155,0.999372616,0
1782478692.065168142,30.201064110,166,vicon_state_data,ball,1,0,2.718724458,-0.011927135,1.080049861,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822101668,-0.460047162,0.820681387,0.000000000,0.000000000,-0.035452144,0.999371375,0
1782478692.066853523,30.202749491,167,vicon_state_data,ball,1,0,2.725033291,-0.009658732,1.079054942,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822125585,-0.460117976,0.820696097,0.000000000,0.000000000,-0.035540477,0.999368238,0
1782478692.068522215,30.204418182,168,vicon_state_data,ball,1,0,2.725629160,-0.006373179,1.074968056,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822125761,-0.460143687,0.820666444,0.000000000,0.000000000,-0.035598637,0.999366168,0
1782478692.070177794,30.206073761,169,vicon_state_data,ball,1,0,2.726056312,-0.008508287,1.078649214,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822135549,-0.460186017,0.820662565,0.000000000,0.000000000,-0.035625001,0.999365228,0
1782478692.072473049,30.208369017,170,vicon_state_data,ball,1,0,2.726610464,-0.008158405,1.078329082,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822128653,-0.460154851,0.820659559,0.000000000,0.000000000,-0.035638662,0.999364741,0
1782478692.074794531,30.210690498,171,vicon_state_data,ball,1,0,2.727074433,-0.007548994,1.079264401,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822141612,-0.460097036,0.820720635,0.000000000,0.000000000,-0.035209627,0.999379949,0
1782478692.076259613,30.212155581,172,vicon_state_data,ball,1,0,2.727703811,-0.007856832,1.078088562,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822150429,-0.460101073,0.820691017,0.000000000,0.000000000,-0.035135339,0.999382563,0
