host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw
1782473753.256992817,435.057617188,22,vicon_state_data,ball,1,0,2.662181339,0.031553090,1.132755025,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822278785,-0.459302629,0.820606901,0.000000000,0.000000000,-0.037954238,0.999279478
1782473753.257059574,435.057683945,23,vicon_state_data,ball,1,0,2.650048748,0.031143928,1.143737148,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822304321,-0.459393342,0.820549255,0.000000000,0.000000000,-0.038361595,0.999263923
1782473753.257127285,435.057751656,24,vicon_state_data,ball,1,0,2.542858851,0.038268776,1.237597705,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822297623,-0.459423851,0.820507444,0.000000000,0.000000000,-0.038850367,0.999245040
1782473753.318566084,435.119190454,25,vicon_state_data,ball,1,0,2.530898120,0.038795298,1.247485048,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822282773,-0.459319876,0.820605749,0.000000000,0.000000000,-0.038084213,0.999274533
1782473753.318756819,435.119381189,26,vicon_state_data,ball,1,0,2.518782739,0.038945131,1.257439630,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822304970,-0.459402762,0.820572143,0.000000000,0.000000000,-0.038533706,0.999257301
1782473753.318857670,435.119482040,27,vicon_state_data,ball,1,0,2.507042381,0.039571186,1.266793811,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822293714,-0.459340074,0.820617244,0.000000000,0.000000000,-0.038124991,0.999272978
1782473753.318935871,435.119560242,28,vicon_state_data,ball,1,0,2.495278709,0.040324302,1.276155635,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822305661,-0.459384732,0.820569913,0.000000000,0.000000000,-0.038539485,0.999257078
1782473753.319009781,435.119634151,29,vicon_state_data,ball,1,0,2.483421267,0.040941539,1.285360079,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822308395,-0.459410976,0.820571610,0.000000000,0.000000000,-0.038492222,0.999258900
1782473753.319081545,435.119705915,30,vicon_state_data,ball,1,0,2.471765227,0.041373239,1.294164211,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822316056,-0.459384047,0.820563619,0.000000000,0.000000000,-0.038464860,0.999259953
1782473753.319167376,435.119791746,31,vicon_state_data,ball,1,0,2.459738453,0.044120777,1.303404679,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822310004,-0.459334346,0.820626803,0.000000000,0.000000000,-0.038051331,0.999275786
1782473753.319238424,435.119862795,32,vicon_state_data,ball,1,0,2.447865232,0.044531749,1.312298208,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822319680,-0.459388698,0.820577810,0.000000000,0.000000000,-0.038473261,0.999259630
1782473753.319313049,435.119937420,33,vicon_state_data,ball,1,0,2.435944627,0.045257077,1.321153091,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822334608,-0.459447017,0.820548696,0.000000000,0.000000000,-0.038322643,0.999265418
1782473753.319386005,435.120010376,34,vicon_state_data,ball,1,0,2.423956201,0.046079307,1.329954794,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822315779,-0.459348681,0.820606231,0.000000000,0.000000000,-0.038004799,0.999277557
1782473753.379580498,435.180204868,35,vicon_state_data,ball,1,0,2.318789008,0.052159789,1.401556920,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822346872,-0.459420745,0.820571246,0.000000000,0.000000000,-0.038460863,0.999260107
1782473753.379881144,435.180505514,36,vicon_state_data,ball,1,0,2.307242822,0.052987898,1.408922628,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822349205,-0.459453586,0.820528479,0.000000000,0.000000000,-0.038250310,0.999268189
1782473753.382691145,435.183315516,37,vicon_state_data,ball,1,0,2.295606635,0.053560653,1.416286223,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822351398,-0.459459961,0.820558734,0.000000000,0.000000000,-0.038454284,0.999260360
1782473753.385362864,435.185987234,38,vicon_state_data,ball,1,0,2.284081472,0.052514610,1.422985261,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.822344596,-0.459445390,0.820563252,0.000000000,0.000000000,-0.038436744,0.999261035
