host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id
1782463476.071963549,18.236660719,5045,vicon_state_data,ball,1,0,-0.398069975,0.381243337,1.196055748,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866974923,-0.386529876,0.820255586,0.000000000,0.000000000,0.011994958,0.999928058,6
1782463476.073538542,18.238235712,5046,vicon_state_data,ball,1,0,-0.401676033,0.381946810,1.191786979,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867086410,-0.386564646,0.820432513,0.000000000,0.000000000,0.012191807,0.999925677,6
1782463476.076766729,18.241463900,5047,vicon_state_data,ball,1,0,-0.394290143,0.379995345,1.189169856,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867173246,-0.386416608,0.820462032,0.000000000,0.000000000,0.012810404,0.999917943,6
1782463476.080075026,18.244772196,5048,vicon_state_data,ball,1,0,-0.378417668,0.376686366,1.188028444,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867063808,-0.386300260,0.820299803,0.000000000,0.000000000,0.012638186,0.999920135,6
1782463476.083385229,18.248082399,5049,vicon_state_data,ball,1,0,-0.363093179,0.373088894,1.186541260,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867087480,-0.386354619,0.820395068,0.000000000,0.000000000,0.012537171,0.999921407,6
1782463476.086698771,18.251395941,5050,vicon_state_data,ball,1,0,-0.347064377,0.369980852,1.185276914,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867004061,-0.386446680,0.820403185,0.000000000,0.000000000,0.012137243,0.999926341,6
1782463476.090200901,18.254898071,5051,vicon_state_data,ball,1,0,-0.331855073,0.366675999,1.183431784,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867078278,-0.386392291,0.820482690,0.000000000,0.000000000,0.012390285,0.999923237,6
1782463476.093738794,18.258435965,5052,vicon_state_data,ball,1,0,-0.316442244,0.363308932,1.181732142,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866989539,-0.386349292,0.820402807,0.000000000,0.000000000,0.012179439,0.999925828,6
1782463476.096937895,18.261635065,5053,vicon_state_data,ball,1,0,-0.301033396,0.359873312,1.180069439,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867016685,-0.386309938,0.820476838,0.000000000,0.000000000,0.012335764,0.999923912,6
1782463476.100172520,18.264869690,5054,vicon_state_data,ball,1,0,-0.285618602,0.356253327,1.178220594,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867020137,-0.386350852,0.820496045,0.000000000,0.000000000,0.012120471,0.999926544,6
1782463476.103376389,18.268073559,5055,vicon_state_data,ball,1,0,-0.270299160,0.352523097,1.176215420,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866978962,-0.386226297,0.820455163,0.000000000,0.000000000,0.012301894,0.999924329,6
1782463476.106808424,18.271505594,5056,vicon_state_data,ball,1,0,-0.255005299,0.348839509,1.174065613,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866962316,-0.386220708,0.820444748,0.000000000,0.000000000,0.012202839,0.999925543,6
1782463476.110056162,18.274753332,5057,vicon_state_data,ball,1,0,-0.239621720,0.345107790,1.171710058,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.867009831,-0.386204856,0.820529836,0.000000000,0.000000000,0.012170466,0.999925937,6
1782463476.113399029,18.278096199,5058,vicon_state_data,ball,1,0,-0.224279255,0.341518117,1.169131557,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866963267,-0.386100022,0.820472590,0.000000000,0.000000000,0.012322186,0.999924079,6
1782463476.116654873,18.281352043,5059,vicon_state_data,ball,1,0,-0.209138821,0.337515982,1.166438400,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.866962716,-0.386079433,0.820459479,0.000000000,0.000000000,0.012408755,0.999923008,6
