host_time_s,elapsed_s,frame_number,channel,name,ball_valid,ball_occluded,ball_x_m,ball_y_m,ball_z_m,ball_qx,ball_qy,ball_qz,ball_qw,base_valid,base_x_m,base_y_m,base_z_m,base_qx,base_qy,base_qz,base_qw,clean_segment_id
1782463481.410410404,23.575107574,6612,vicon_state_data,ball,1,0,-0.072863753,-0.026570950,1.042309887,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865235964,-0.383448903,0.819988807,0.000000000,0.000000000,-0.004368812,0.999990457,8
1782463481.413371801,23.578068972,6613,vicon_state_data,ball,1,0,-0.073194911,-0.026457391,1.042807756,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865217969,-0.383392354,0.819994200,0.000000000,0.000000000,-0.004352755,0.999990527,8
1782463481.416602850,23.581300020,6614,vicon_state_data,ball,1,0,-0.071384020,-0.028920158,1.044909940,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865210279,-0.383364938,0.820011278,0.000000000,0.000000000,-0.004348824,0.999990544,8
1782463481.419904709,23.584601879,6615,vicon_state_data,ball,1,0,-0.072100249,-0.028315785,1.045257596,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865187941,-0.383304587,0.819995715,0.000000000,0.000000000,-0.004380002,0.999990408,8
1782463481.423382282,23.588079453,6616,vicon_state_data,ball,1,0,-0.071836331,-0.028423054,1.045850703,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865166458,-0.383269677,0.820009131,0.000000000,0.000000000,-0.004343817,0.999990566,8
1782463481.426924944,23.591622114,6617,vicon_state_data,ball,1,0,-0.074548433,-0.025496375,1.046302473,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865163926,-0.383230202,0.820011751,0.000000000,0.000000000,-0.004286458,0.999990813,8
1782463481.430144310,23.594841480,6618,vicon_state_data,ball,1,0,-0.074761266,-0.025546532,1.047034248,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865143715,-0.383186792,0.820032530,0.000000000,0.000000000,-0.004198540,0.999991186,8
1782463481.433388948,23.598086119,6619,vicon_state_data,ball,1,0,-0.075083300,-0.024814216,1.047635497,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865143048,-0.383112946,0.820023195,0.000000000,0.000000000,-0.004180892,0.999991260,8
1782463481.436674356,23.601371527,6620,vicon_state_data,ball,1,0,-0.075485185,-0.024282834,1.048652013,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865114746,-0.383066783,0.820020868,0.000000000,0.000000000,-0.004147720,0.999991398,8
1782463481.440053701,23.604750872,6621,vicon_state_data,ball,1,0,-0.075541733,-0.024633874,1.048292201,0.000000000,0.000000000,0.000000000,1.000000000,1,-0.865098917,-0.382990044,0.820012331,0.000000000,0.000000000,-0.004139010,0.999991434,8
