source_bvh,output_npz,frames,source_fps,output_fps,ground_shift_z,skipped_existing
/home/sijie/Downloads/bvh1h/MB001_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB001_lyn_lyn__unitree_g1.npz,744,100.0,30.0,-0.09394100308418274,False
/home/sijie/Downloads/bvh1h/MB002_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB002_lyn_lyn__unitree_g1.npz,747,100.0,30.0,-0.09478792548179626,False
/home/sijie/Downloads/bvh1h/MB003_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB003_lyn_lyn__unitree_g1.npz,702,100.0,30.0,-0.07856342941522598,False
/home/sijie/Downloads/bvh1h/MB004_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB004_lyn_lyn__unitree_g1.npz,648,100.0,30.0,-0.08057108521461487,False
/home/sijie/Downloads/bvh1h/MB005_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB005_lyn_lyn__unitree_g1.npz,700,100.0,30.0,-0.08007492125034332,False
/home/sijie/Downloads/bvh1h/MB006_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB006_lyn_lyn__unitree_g1.npz,709,100.0,30.0,-0.07770714908838272,False
/home/sijie/Downloads/bvh1h/MB007_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB007_lyn_lyn__unitree_g1.npz,782,100.0,30.0,-0.09239465743303299,False
/home/sijie/Downloads/bvh1h/MB008_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB008_lyn_lyn__unitree_g1.npz,745,100.0,30.0,-0.09418753534555435,False
/home/sijie/Downloads/bvh1h/MB009_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB009_lyn_lyn__unitree_g1.npz,871,100.0,30.0,-0.07944425195455551,False
/home/sijie/Downloads/bvh1h/MB0100_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB0100_lyn_lyn__unitree_g1.npz,767,100.0,30.0,-0.09733307361602783,False
/home/sijie/Downloads/bvh1h/MB010_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB010_lyn_lyn__unitree_g1.npz,855,100.0,30.0,-0.07769664376974106,False
/home/sijie/Downloads/bvh1h/MB011_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB011_lyn_lyn__unitree_g1.npz,876,100.0,30.0,-0.07737712562084198,False
/home/sijie/Downloads/bvh1h/MB012_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB012_lyn_lyn__unitree_g1.npz,896,100.0,30.0,-0.0807524174451828,False
/home/sijie/Downloads/bvh1h/MB013_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB013_lyn_lyn__unitree_g1.npz,886,100.0,30.0,-0.07940439879894257,False
/home/sijie/Downloads/bvh1h/MB014_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB014_lyn_lyn__unitree_g1.npz,883,100.0,30.0,-0.07942470908164978,False
/home/sijie/Downloads/bvh1h/MB015_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB015_lyn_lyn__unitree_g1.npz,740,100.0,30.0,-0.0814451202750206,False
/home/sijie/Downloads/bvh1h/MB016_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB016_lyn_lyn__unitree_g1.npz,733,100.0,30.0,-0.08267553895711899,False
/home/sijie/Downloads/bvh1h/MB017_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB017_lyn_lyn__unitree_g1.npz,1004,100.0,30.0,-0.07993102073669434,False
/home/sijie/Downloads/bvh1h/MB018_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB018_lyn_lyn__unitree_g1.npz,964,100.0,30.0,-0.07802778482437134,False
/home/sijie/Downloads/bvh1h/MB019_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB019_lyn_lyn__unitree_g1.npz,1051,100.0,30.0,-0.07710857689380646,False
/home/sijie/Downloads/bvh1h/MB020_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB020_lyn_lyn__unitree_g1.npz,1006,100.0,30.0,-0.08276329934597015,False
/home/sijie/Downloads/bvh1h/MB021_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB021_lyn_lyn__unitree_g1.npz,887,100.0,30.0,-0.08740110695362091,False
/home/sijie/Downloads/bvh1h/MB022_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB022_lyn_lyn__unitree_g1.npz,922,100.0,30.0,-0.08255263417959213,False
/home/sijie/Downloads/bvh1h/MB023_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB023_lyn_lyn__unitree_g1.npz,922,100.0,30.0,-0.08066602051258087,False
/home/sijie/Downloads/bvh1h/MB024_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB024_lyn_lyn__unitree_g1.npz,946,100.0,30.0,-0.07668215036392212,False
/home/sijie/Downloads/bvh1h/MB025_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB025_lyn_lyn__unitree_g1.npz,1175,100.0,30.0,-0.09851066768169403,False
/home/sijie/Downloads/bvh1h/MB026_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB026_lyn_lyn__unitree_g1.npz,1278,100.0,30.0,-0.09016375988721848,False
/home/sijie/Downloads/bvh1h/MB027_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB027_lyn_lyn__unitree_g1.npz,935,100.0,30.0,-0.09630496799945831,False
/home/sijie/Downloads/bvh1h/MB028_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB028_lyn_lyn__unitree_g1.npz,903,100.0,30.0,-0.09272179007530212,False
/home/sijie/Downloads/bvh1h/MB029_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB029_lyn_lyn__unitree_g1.npz,1035,100.0,30.0,-0.09328366816043854,False
/home/sijie/Downloads/bvh1h/MB030_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB030_lyn_lyn__unitree_g1.npz,1038,100.0,30.0,-0.09011178463697433,False
/home/sijie/Downloads/bvh1h/MB031_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB031_lyn_lyn__unitree_g1.npz,995,100.0,30.0,-0.09120810031890869,False
/home/sijie/Downloads/bvh1h/MB032_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB032_lyn_lyn__unitree_g1.npz,1000,100.0,30.0,-0.09225917607545853,False
/home/sijie/Downloads/bvh1h/MB033_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB033_lyn_lyn__unitree_g1.npz,1159,100.0,30.0,-0.08937906473875046,False
/home/sijie/Downloads/bvh1h/MB034_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB034_lyn_lyn__unitree_g1.npz,1124,100.0,30.0,-0.08714154362678528,False
/home/sijie/Downloads/bvh1h/MB035_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB035_lyn_lyn__unitree_g1.npz,913,100.0,30.0,-0.08661168813705444,False
/home/sijie/Downloads/bvh1h/MB036_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB036_lyn_lyn__unitree_g1.npz,940,100.0,30.0,-0.09126091003417969,False
/home/sijie/Downloads/bvh1h/MB037_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB037_lyn_lyn__unitree_g1.npz,1246,100.0,30.0,-0.08810794353485107,False
/home/sijie/Downloads/bvh1h/MB038_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB038_lyn_lyn__unitree_g1.npz,1218,100.0,30.0,-0.09266051650047302,False
/home/sijie/Downloads/bvh1h/MB039_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB039_lyn_lyn__unitree_g1.npz,943,100.0,30.0,-0.08642136305570602,False
/home/sijie/Downloads/bvh1h/MB040_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB040_lyn_lyn__unitree_g1.npz,959,100.0,30.0,-0.08961179852485657,False
/home/sijie/Downloads/bvh1h/MB041_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB041_lyn_lyn__unitree_g1.npz,885,100.0,30.0,-0.08967223018407822,False
/home/sijie/Downloads/bvh1h/MB042_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB042_lyn_lyn__unitree_g1.npz,884,100.0,30.0,-0.08985324949026108,False
/home/sijie/Downloads/bvh1h/MB043_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB043_lyn_lyn__unitree_g1.npz,1415,100.0,30.0,-0.08428303152322769,False
/home/sijie/Downloads/bvh1h/MB044_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB044_lyn_lyn__unitree_g1.npz,1485,100.0,30.0,-0.08880892395973206,False
/home/sijie/Downloads/bvh1h/MB045_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB045_lyn_lyn__unitree_g1.npz,1343,100.0,30.0,-0.08782175928354263,False
/home/sijie/Downloads/bvh1h/MB046_lyn_lyn.bvh,/home/sijie/Stage1_recovery_20260408/MOSAIC-main/data/motions/bvh1h_g1_npz/MB046_lyn_lyn__unitree_g1.npz,1363,100.0,30.0,-0.08805567026138306,False
